time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Spine3.x,Spine3.y,Spine3.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000, -68.32000,  95.20000, -34.51000, -73.02129,  93.68106, -42.77931, -72.04640,  51.74510, -44.88284, -70.14674,   9.83699, -46.90801, -63.56746,  93.53188, -26.29894, -63.64505,  51.61797, -28.98560, -63.99346,   9.70129, -31.60674, -68.55067, 109.54375, -34.24784, -67.20339, 119.13617, -35.32247, -65.41940, 129.02216, -36.76701, -63.11771, 138.30092, -38.66213, -60.69069, 148.24040, -40.61920, -58.62270, 156.84628, -42.25083, -63.17575, 144.80069, -42.68986, -70.89833, 147.82094, -52.44075, -74.52872, 121.06710, -52.21251, -80.43166,  95.93326, -49.13916, -83.05221,  94.31097, -46.41942, -82.77058,  92.40963, -43.15529, -82.25372,  90.94489, -41.03172, -83.02183,  93.44140, -47.56048, -85.37355,  88.63947, -46.43335, -86.04186,  85.32266, -44.88000, -85.75963,  83.55542, -43.76038, -82.48412,  93.01504, -48.62621, -84.48783,  88.10104, -48.10352, -84.64516,  84.15154, -47.16730, -83.91084,  81.92423, -46.17379, -82.05696,  92.83708, -49.41141, -83.51924,  88.27866, -49.63591, -83.19031,  84.75440, -49.53554, -82.21797,  82.57444, -48.95736, -81.39564,  92.76960, -50.31900, -82.37284,  88.54604, -51.09691, -82.03942,  85.76500, -51.53494, -81.41519,  84.08604, -51.48310, -59.82349, 145.05443, -37.24395, -50.29179, 144.92082, -28.70177, -51.71922, 118.00381, -27.14067, -55.33714,  92.44567, -24.02738, -57.86501,  90.91381, -21.17092, -61.12675,  89.29137, -22.20905, -63.30880,  88.41571, -23.38974, -56.85611,  89.92635, -21.42808, -58.25216,  85.09154, -19.29848, -60.00823,  81.90510, -18.50882, -61.29375,  80.23224, -18.58152, -55.93337,  89.43171, -22.14263, -56.79556,  84.44861, -20.45124, -57.68426,  80.53946, -19.79661, -58.51143,  78.13135, -19.73318, -55.24060,  89.20480, -22.68968, -55.39582,  84.53730, -21.61347, -55.75968,  81.02978, -21.93529, -56.46376,  78.79397, -22.66835, -54.44487,  89.09438, -23.47723, -54.07870,  84.73895, -22.93438, -53.78127,  81.93872, -23.26221, -53.80075,  80.19689, -23.68281
   0.01700, -68.20000,  95.20000, -34.43000, -72.90693,  93.68099, -42.69609, -72.05013,  51.74054, -44.76114, -70.13930,   9.83631, -46.85500, -63.44762,  93.53180, -26.21886, -63.57520,  51.61847, -28.91261, -63.95508,   9.70455, -31.57327, -68.40452, 109.54441, -34.18271, -67.05513, 119.13658, -35.25693, -65.27111, 129.02309, -36.69787, -62.97508, 138.30458, -38.58644, -60.55412, 148.24693, -40.53649, -58.49136, 156.85522, -42.16202, -63.03789, 144.80746, -42.60910, -70.76561, 147.83447, -52.35381, -74.40918, 121.08237, -52.13107, -80.36231,  95.96248, -49.04058, -82.98914,  94.34882, -46.32176, -82.71100,  92.45116, -43.05519, -82.19398,  90.98761, -40.93084, -82.95906,  93.47765, -47.46160, -85.32117,  88.68169, -46.33078, -85.99817,  85.36825, -44.77402, -85.72129,  83.60178, -43.65186, -82.42089,  93.04883, -48.52612, -84.43449,  88.13934, -47.99917, -84.60039,  84.19141, -47.05780, -83.87145,  81.96406, -46.06041, -81.99313,  92.86901, -49.31057, -83.46375,  88.31305, -49.53064, -83.14160,  84.78832, -49.42512, -82.17406,  82.60732, -48.84284, -81.33086,  92.79905, -50.21728, -82.31512,  88.57630, -50.99064, -81.98802,  85.79404, -51.42571, -81.36885,  84.11325, -51.37241, -59.68417, 145.05880, -37.16397, -50.14697, 144.92232, -28.62797, -51.57089, 118.00570, -27.05684, -55.22927,  92.45448, -23.93415, -57.75315,  90.92687, -21.07188, -61.01726,  89.30737, -22.10710, -63.20017,  88.43497, -23.28863, -56.74534,  89.93852, -21.32991, -58.14084,  85.10656, -19.19348, -59.89904,  81.92225, -18.40001, -61.18694,  80.25116, -18.47147, -55.82418,  89.44262, -22.04562, -56.68668,  84.46163, -20.34820, -57.57860,  80.55369, -19.69066, -58.40932,  78.14683, -19.62640, -55.13252,  89.21476, -22.59368, -55.28892,  84.54834, -21.51296, -55.65728,  81.04110, -21.83278, -56.36617,  78.80652, -22.56492, -54.33824,  89.10310, -23.38252, -53.97398,  84.74793, -22.83635, -53.68032,  81.94723, -23.16359, -53.70343,  80.20547, -23.58432
   0.03400, -68.09000,  95.20000, -34.36000, -72.79693,  93.68099, -42.62609, -71.94013,  51.74054, -44.69114, -70.02930,   9.83631, -46.78500, -63.33762,  93.53180, -26.14886, -63.46520,  51.61847, -28.84261, -63.84508,   9.70455, -31.50327, -68.29452, 109.54441, -34.11271, -66.94513, 119.13658, -35.18693, -65.16111, 129.02309, -36.62787, -62.86508, 138.30458, -38.51644, -60.44412, 148.24693, -40.46649, -58.38136, 156.85522, -42.09202, -62.92789, 144.80746, -42.53910, -70.65561, 147.83447, -52.28381, -74.39293, 121.10175, -51.65596, -80.34619,  95.98108, -48.57209, -82.97328,  94.36675, -45.85392, -82.69547,  92.46831, -42.58778, -82.17865,  91.00425, -40.46372, -82.94308,  93.49585, -46.99397, -85.30527,  88.69961, -45.86453, -85.98241,  85.38579, -44.30863, -85.70563,  83.61905, -43.18687, -82.40480,  93.06729, -48.05853, -84.41842,  88.15766, -47.53297, -84.58439,  84.20950, -46.59256, -83.85554,  81.98192, -45.59562, -81.97696,  92.88766, -48.84299, -83.44753,  88.33175, -49.06430, -83.12536,  84.80699, -48.95959, -82.15787,  82.62586, -48.37773, -81.31460,  92.81792, -49.74964, -82.29875,  88.59535, -50.52412, -81.97158,  85.81320, -50.95981, -81.35241,  84.13240, -50.90686, -59.57417, 145.05880, -37.09397, -50.03697, 144.92232, -28.55797, -51.80109, 118.02907, -26.93282, -55.45736,  92.47791, -23.80715, -57.98121,  90.95043, -20.94478, -61.24515,  89.33051, -21.97992, -63.42793,  88.45778, -23.16142, -56.97331,  89.96213, -21.20266, -58.36846,  85.13031, -19.06569, -60.12642,  81.94594, -18.27189, -61.41417,  80.27474, -18.34319, -56.05208,  89.46623, -21.91828, -56.91420,  84.48537, -20.22028, -57.80581,  80.57743, -19.56229, -58.63632,  78.17051, -19.49777, -55.36038,  89.23836, -22.46628, -55.51641,  84.57206, -21.38500, -55.88445,  81.06475, -21.70440, -56.59313,  78.83001, -22.43630, -54.56607,  89.12667, -23.25508, -54.20145,  84.77160, -22.70837, -53.90753,  81.97088, -23.03526, -53.93048,  80.22907, -23.45577
   0.05100, -67.98000,  95.20000, -34.30000, -72.68693,  93.68099, -42.56609, -71.83013,  51.74054, -44.63114, -69.91930,   9.83631, -46.72500, -63.22762,  93.53180, -26.08886, -63.35520,  51.61847, -28.78261, -63.73508,   9.70455, -31.44327, -68.18452, 109.54441, -34.05271, -66.83513, 119.13658, -35.12693, -65.05111, 129.02309, -36.56787, -62.75508, 138.30458, -38.45644, -60.33412, 148.24693, -40.40649, -58.27136, 156.85522, -42.03202, -62.81789, 144.80746, -42.47910, -70.54561, 147.83447, -52.22381, -74.31265, 121.10717, -51.54501, -80.26494,  95.98744, -48.45155, -82.89151,  94.37399, -45.73235, -82.61306,  92.47666, -42.46562, -82.09583,  91.01333, -40.34117, -82.86150,  93.50271, -46.87212, -85.22341,  88.70681, -45.74063, -85.90021,  85.39350, -44.18348, -85.62319,  83.62715, -43.06117, -82.32341,  93.07380, -47.93663, -84.33685,  88.16431, -47.40904, -84.50258,  84.21647, -46.46726, -83.77351,  81.98924, -45.46971, -81.89571,  92.89391, -48.72110, -83.36624,  88.33790, -48.94060, -83.04399,  84.81318, -48.83476, -82.07636,  82.63226, -48.25234, -81.23351,  92.82387, -49.62786, -82.21773,  88.60102, -50.40073, -81.89060,  85.81873, -50.83554, -81.27139,  84.13796, -50.78213, -59.46417, 145.05880, -37.03397, -49.92697, 144.92232, -28.49797, -51.67123, 118.02859, -26.85934, -55.32906,  92.47743, -23.73545, -57.85312,  90.94992, -20.87329, -61.11711,  89.33025, -21.90867, -63.29989,  88.45771, -23.09033, -56.84527,  89.96158, -21.13118, -58.24078,  85.12970, -18.99458, -59.99895,  81.94538, -18.20106, -61.28679,  80.27425, -18.27253, -55.92403,  89.46567, -21.84680, -56.78651,  84.48475, -20.14915, -57.67836,  80.57682, -19.49145, -58.50901,  78.16994, -19.42712, -55.23232,  89.23779, -22.39478, -55.38866,  84.57143, -21.31381, -55.75688,  81.06417, -21.63345, -56.46565,  78.82952, -22.36552, -54.43798,  89.12611, -23.18356, -54.07363,  84.77098, -22.63710, -53.77986,  81.97028, -22.96416, -53.80288,  80.22850, -23.38479
   0.06800, -67.86000,  95.24000, -34.29000, -72.35861,  93.65090, -42.65828, -71.50277,  51.71020, -44.71861, -69.33988,   9.77743, -45.70095, -63.23701,  93.64428, -25.99105, -62.81455,  51.69615, -28.03462, -62.54225,   9.73665, -29.85839, -68.41978, 109.57368, -33.97795, -67.09939, 119.17102, -35.04199, -65.29346, 129.05367, -36.48210, -62.89817, 138.30743, -38.38344, -60.35745, 148.21708, -40.34748, -58.17929, 156.79455, -41.98534, -62.85269, 144.79374, -42.43297, -70.52230, 147.80434, -52.22855, -74.31700, 121.08216, -51.50385, -80.67930,  96.16287, -47.68942, -83.30606,  94.54973, -44.97022, -82.93525,  92.66915, -41.70298, -82.29318,  91.24997, -39.58264, -83.27647,  93.67866, -46.11016, -85.63979,  88.88330, -44.97933, -86.25403,  85.57102, -43.39434, -85.90515,  83.82946, -42.25346, -82.73865,  93.24979, -47.17482, -84.75361,  88.34084, -46.64795, -84.91429,  84.39342, -45.70356, -84.17846,  82.16960, -44.70337, -82.31110,  93.06991, -47.95938, -83.78313,  88.51442, -48.17960, -83.43653,  84.99255, -48.05726, -82.43837,  82.83120, -47.45379, -81.64903,  92.99984, -48.86623, -82.63471,  88.77746, -49.63981, -82.17105,  86.00030, -49.97088, -81.39778,  84.39461, -49.78359, -59.55586, 145.03462, -36.95275, -50.33716, 144.82540, -28.07515, -52.06245, 117.93206, -26.41039, -56.05733,  92.46047, -23.05790, -58.75799,  91.01083, -20.31909, -62.00952,  89.38847, -21.38885, -64.20949,  88.48683, -22.51550, -57.75233,  90.00465, -20.50711, -59.33568,  85.22474, -18.38459, -61.16699,  82.07487, -17.61953, -62.46188,  80.41005, -17.70860, -56.80055,  89.48534, -21.16371, -57.82974,  84.54246, -19.44786, -58.79140,  80.65729, -18.75466, -59.63325,  78.25522, -18.66222, -56.08314,  89.23971, -21.66936, -56.36863,  84.59232, -20.53441, -56.74249,  81.08036, -20.78953, -57.40704,  78.81974, -21.48227, -55.24826,  89.10527, -22.41132, -54.97977,  84.75387, -21.78549, -54.70231,  81.94469, -22.04768, -54.71790,  80.19475, -22.43335
   0.08500, -67.75000,  95.25000, -34.29000, -72.25241,  93.66419, -42.65686, -71.39621,  51.72369, -44.72112, -69.23024,   9.79170, -45.72966, -63.12474,  93.65094, -25.99296, -62.71097,  51.70352, -28.05282, -62.44736,   9.74468, -29.89289, -68.30288, 109.58390, -33.97576, -66.98540, 119.18184, -35.03797, -65.18483, 129.06566, -36.47681, -62.79812, 138.32195, -38.37662, -60.26509, 148.23372, -40.33991, -58.09233, 156.81254, -41.97788, -62.75676, 144.80826, -42.42620, -70.41843, 147.81416, -52.22943, -74.22419, 121.09486, -51.45807, -80.63712,  96.19857, -47.57878, -83.26471,  94.58534, -44.86044, -82.89888,  92.70616, -41.59183, -82.26292,  91.29016, -39.46753, -83.23474,  93.71429, -46.00038, -85.59831,  88.91886, -44.87035, -86.21595,  85.60647, -43.28691, -85.87077,  83.86368, -42.14680, -82.69657,  93.28544, -47.06487, -84.71159,  88.37644, -46.53870, -84.87435,  84.42884, -45.59542, -84.14099,  82.20387, -44.59597, -82.26876,  93.10558, -47.84930, -83.74062,  88.55006, -48.07004, -83.39552,  85.02801, -47.94867, -82.39936,  82.86545, -47.34620, -81.60641,  93.03554, -48.75594, -82.59175,  88.81315, -49.52988, -82.13223,  86.03568, -49.86416, -81.36370,  84.42726, -49.68084, -59.46194, 145.05196, -36.94489, -50.24160, 144.84854, -28.06886, -51.94868, 117.95594, -26.37364, -55.93981,  92.48649, -23.00053, -58.63348,  91.03930, -20.25354, -61.88692,  89.41650, -21.31682, -64.08724,  88.51347, -22.44167, -57.62831,  90.03294, -20.44325, -59.20626,  85.25493, -18.31246, -61.03596,  82.10580, -17.54049, -62.33135,  80.44115, -17.62543, -56.67821,  89.51304, -21.10181, -57.70305,  84.57169, -19.37896, -58.66380,  80.68715, -18.68101, -59.50640,  78.28545, -18.58575, -55.96210,  89.26696, -21.60907, -56.24472,  84.62057, -20.46928, -56.62001,  81.10855, -20.72130, -57.28731,  78.84798, -21.41158, -55.12912,  89.13186, -22.35305, -54.85906,  84.78101, -21.72405, -54.58260,  81.97160, -21.98483, -54.59960,  80.22142, -22.36937
   0.10200, -67.67000,  95.26000, -34.31000, -72.17241,  93.67419, -42.67686, -70.43296,  51.74459, -44.37472, -68.26519,   9.81347, -45.41503, -63.04474,  93.66094, -26.01296, -62.62380,  51.71485, -28.09821, -62.36308,   9.75708, -29.96298, -68.22288, 109.59390, -33.99576, -66.90979, 119.19234, -35.05895, -65.11520, 129.07723, -36.49787, -62.73620, 138.33539, -38.39822, -60.21146, 148.24916, -40.36207, -58.04587, 156.82970, -42.00054, -62.69965, 144.82128, -42.44852, -70.35782, 147.82075, -52.25646, -74.17404, 121.10405, -51.44751, -80.58173,  96.20634, -47.56863, -83.05589,  94.68776, -44.65856, -82.59382,  92.84854, -41.37942, -81.95663,  91.43256, -39.25548, -83.11486,  93.79740, -45.78234, -85.48378,  89.06620, -44.41722, -86.09936,  85.79237, -42.75475, -85.76129,  84.04635, -41.61745, -82.65417,  93.34093, -46.87142, -84.71633,  88.47965, -46.12920, -84.91105,  84.55026, -45.11836, -84.18259,  82.31494, -44.13861, -82.28116,  93.14009, -47.67840, -83.84348,  88.60963, -47.72267, -83.57455,  85.08201, -47.57361, -82.60635,  82.89546, -47.01369, -81.68011,  93.04265, -48.62436, -82.78694,  88.82695, -49.25784, -82.44419,  86.03383, -49.60175, -81.74483,  84.38855, -49.47844, -59.40626, 145.06850, -36.96651, -50.18289, 144.86818, -28.09355, -51.89851, 117.97859, -26.35954, -55.89433,  92.51287, -22.96392, -58.58236,  91.06894, -20.20970, -61.83669,  89.44524, -21.26889, -64.03650,  88.54154, -22.39419, -57.57744,  90.06247, -20.40007, -59.15051,  85.28706, -18.25986, -60.97924,  82.13888, -17.48179, -62.27534,  80.47464, -17.56391, -56.62857,  89.54183, -21.05982, -57.64932,  84.60262, -19.32843, -58.60899,  80.71888, -18.62459, -59.45205,  78.31748, -18.52596, -55.91343,  89.29517, -21.56818, -56.19315,  84.65026, -20.42170, -56.56885,  81.13793, -20.66882, -57.23769,  78.87670, -21.35542, -55.08190,  89.15921, -22.31362, -54.81000,  84.80922, -21.67942, -54.53432,  81.99951, -21.93779, -54.55266,  80.24904, -22.32091
   0.11900, -67.63000,  95.26000, -34.32000, -72.13241,  93.67419, -42.68686, -70.38634,  51.74546, -44.39948, -68.22596,   9.81451, -45.46150, -63.00474,  93.66094, -26.02296, -62.57144,  51.71599, -28.12844, -62.31382,   9.75928, -30.01757, -68.18288, 109.59390, -34.00576, -66.87124, 119.19263, -35.06812, -65.07815, 129.07792, -36.50618, -62.70055, 138.33661, -38.40572, -60.17731, 148.25093, -40.36871, -58.01302, 156.83194, -42.00643, -62.66499, 144.82285, -42.45545, -70.32330, 147.81730, -52.26481, -74.15117, 121.10321, -51.42532, -80.55913,  96.20567, -47.54580, -83.04123,  94.70724, -44.63203, -82.58338,  92.87738, -41.34708, -81.94610,  91.46388, -39.22151, -83.10249,  93.81280, -45.75244, -85.48971,  89.09550, -44.37122, -86.11430,  85.83032, -42.69514, -85.77868,  84.08899, -41.54995, -82.64255,  93.35049, -46.83937, -84.72297,  88.49960, -46.08028, -84.92702,  84.57524, -45.05188, -84.20060,  82.34436, -44.06058, -82.26960,  93.14521, -47.64526, -83.84832,  88.62031, -47.67350, -83.58808,  85.09275, -47.50821, -82.62301,  82.90799, -46.93603, -81.66812,  93.04196, -48.59034, -82.78972,  88.82790, -49.20859, -82.45518,  86.03233, -49.54042, -81.76003,  84.38591, -49.40881, -59.37163, 145.07009, -36.97342, -50.14002, 144.87229, -28.10898, -51.85270, 117.98444, -26.34539, -55.83873,  92.52133, -22.91879, -58.52002,  91.07932, -20.15701, -61.77467,  89.45248, -21.21039, -63.97445,  88.54628, -22.33375, -57.51474,  90.07333, -20.34801, -59.07985,  85.29980, -18.19779, -60.90496,  82.15141, -17.41206, -62.20024,  80.48633, -17.48981, -56.56683,  89.55245, -21.00897, -57.58034,  84.61496, -19.26847, -58.53651,  80.73150, -18.55828, -59.37855,  78.32990, -18.45597, -55.85255,  89.30561, -21.51844, -56.12646,  84.66212, -20.36479, -56.50041,  81.14924, -20.60662, -57.16946,  78.88687, -21.28925, -55.02245,  89.16920, -22.26539, -54.74600,  84.82033, -21.62557, -54.46875,  82.01046, -21.88051, -54.48657,  80.25943, -22.26110
   0.13600, -67.60000,  95.26000, -34.32000, -72.10261,  93.67585, -42.68707, -70.36031,  51.74919, -44.45323, -68.18705,   9.81865, -45.50541, -62.97481,  93.65928, -26.02324, -62.53328,  51.71525, -28.14525, -62.28299,   9.75944, -30.05508, -68.15167, 109.59390, -34.00357, -66.83965, 119.19263, -35.06535, -65.04695, 129.07788, -36.50421, -62.66948, 138.33651, -38.40418, -60.14640, 148.25078, -40.36765, -57.98228, 156.83175, -42.00580, -62.63280, 144.82211, -42.45495, -70.29357, 147.80899, -52.26469, -74.12281, 121.09622, -51.39010, -80.52893,  96.19822, -47.51046, -83.02511,  94.74060, -44.58804, -82.57237,  92.93369, -41.28970, -81.93150,  91.52355, -39.16298, -83.08858,  93.83581, -45.69999, -85.50328,  89.14436, -44.27907, -86.13936,  85.89864, -42.56984, -85.80491,  84.16992, -41.40538, -82.62869,  93.36075, -46.78143, -84.73593,  88.52818, -45.98066, -84.95491,  84.61549, -44.91170, -84.23306,  82.39486, -43.89437, -82.25506,  93.14585, -47.58449, -83.85721,  88.62912, -47.57301, -83.61035,  85.10255, -47.37034, -82.65129,  82.92233, -46.77135, -81.65207,  93.03045, -48.52719, -82.79420,  88.81653, -49.10765, -82.46771,  86.01648, -49.40817, -81.77489,  84.37099, -49.25440, -59.34189, 145.07058, -36.97150, -50.10492, 144.88035, -28.11249, -51.79569, 117.99201, -26.33527, -55.78457,  92.52852, -22.91482, -58.45861,  91.08579, -20.14641, -61.71313,  89.45627, -21.19603, -63.91268,  88.54979, -22.31963, -57.45258,  90.08077, -20.33860, -59.00791,  85.30728, -18.18122, -60.82851,  82.15760, -17.39026, -62.12259,  80.49144, -17.46529, -56.50543,  89.56042, -21.00105, -57.50980,  84.62324, -19.25437, -58.46098,  80.73930, -18.54013, -59.30106,  78.33711, -18.43556, -55.79190,  89.31396, -21.51176, -56.05820,  84.67114, -20.35368, -56.42943,  81.15778, -20.59277, -57.09828,  78.89474, -21.27339, -54.96317,  89.17787, -22.26028, -54.68048,  84.82985, -21.61739, -54.40089,  82.02008, -21.87092, -54.41791,  80.26882, -22.25047
   0.15300, -67.59000,  95.26000, -34.32000, -72.09446,  93.67916, -42.68670, -70.35855,  51.75323, -44.47634, -68.18750,   9.82277, -45.53615, -62.96351,  93.65597, -26.02461, -62.51805,  51.71313, -28.16922, -62.27945,   9.75848, -30.10584, -68.13921, 109.59389, -33.99908, -66.82481, 119.19206, -35.06307, -65.02831, 129.07613, -36.50527, -62.64709, 138.33260, -38.41105, -60.11995, 148.24461, -40.38072, -57.95228, 156.82366, -42.02423, -62.60952, 144.81630, -42.46485, -70.27614, 147.80255, -52.27022, -74.09380, 121.08884, -51.37398, -80.49956,  96.19074, -47.49441, -82.98886,  94.72799, -44.56868, -82.52876,  92.92047, -41.27170, -81.88282,  91.51077, -39.14622, -83.05282,  93.82368, -45.68099, -85.45837,  89.12798, -44.25856, -86.08754,  85.88047, -42.55018, -85.74938,  84.15142, -41.38728, -82.59400,  93.34984, -46.76342, -84.69289,  88.51380, -45.96171, -84.90443,  84.60024, -44.89439, -84.17769,  82.38015, -43.87938, -82.22136,  93.13589, -47.56719, -83.81690,  88.61682, -47.55543, -83.56511,  85.09046, -47.35528, -82.60257,  82.91094, -46.75934, -81.61973,  93.02185, -48.51093, -82.75667,  88.80657, -49.09170, -82.42988,  86.00700, -49.39637, -81.73815,  84.36062, -49.24737, -59.31498, 145.06554, -36.98362, -50.06935, 144.88456, -28.13344, -51.71510, 117.99423, -26.34405, -55.69866,  92.53055, -22.91884, -58.36136,  91.08525, -20.14085, -61.61608,  89.45033, -21.18142, -63.81612,  88.54029, -22.30115, -57.35432,  90.08176, -20.33566, -58.89485,  85.30713, -18.17019, -60.70808,  82.15505, -17.37186, -61.99993,  80.48698, -17.44227, -56.40847,  89.56252, -21.00084, -57.39912,  84.62484, -19.24775, -58.34249,  80.73982, -18.52908, -59.17929,  78.33660, -18.42169, -55.69620,  89.31689, -21.51370, -55.95117,  84.67439, -20.35179, -56.31822,  81.16042, -20.58837, -56.98656,  78.89652, -21.26661, -54.86968,  89.18166, -22.26482, -54.57782,  84.83453, -21.62006, -54.29479,  82.02506, -21.87307, -54.31060,  80.27363, -22.25189
   0.17000, -67.59000,  95.26000, -34.33000, -72.09623,  93.68581, -42.69700, -70.35904,  51.76066, -44.50359, -68.19603,   9.83025, -45.58165, -62.96185,  93.64937, -26.03681, -62.50276,  51.70804, -28.20801, -62.26471,   9.75339, -30.14458, -68.13873, 109.59365, -33.99779, -66.82002, 119.19101, -35.06375, -65.01871, 129.07352, -36.51065, -62.63146, 138.32680, -38.42439, -60.09876, 148.23537, -40.40414, -57.92705, 156.81147, -42.05770, -62.59194, 144.80698, -42.48379, -70.25941, 147.79254, -52.28870, -74.06448, 121.07753, -51.37778, -80.50033,  96.19676, -47.43736, -82.98154,  94.72571, -44.50892, -82.51204,  92.91532, -41.21484, -81.85996,  91.50480, -39.09177, -83.04568,  93.82255, -45.62215, -85.43940,  89.12046, -44.20088, -86.06032,  85.86974, -42.49559, -85.71805,  84.13958, -41.33553, -82.58783,  93.35086, -46.70594, -84.67572,  88.50975, -45.90609, -84.88146,  84.59427, -44.84468, -84.15311,  82.37225, -43.83507, -82.21620,  93.13858, -47.51061, -83.80275,  88.61634, -47.50123, -83.54414,  85.09020, -47.30590, -82.57689,  82.91152, -46.71456, -81.61602,  93.02682, -48.45555, -82.74562,  88.80996, -49.03916, -82.41712,  86.01124, -49.34982, -81.72559,  84.36425, -49.20671, -59.29388, 145.05868, -37.00478, -50.04169, 144.87866, -28.16145, -51.65232, 117.98755, -26.35211, -55.62414,  92.52553, -22.90098, -58.27532,  91.07837, -20.11294, -61.53147,  89.44060, -21.14451, -63.73277,  88.52840, -22.26001, -57.26804,  90.07578, -20.31120, -58.79612,  85.30021, -18.13900, -60.60410,  82.14670, -17.33443, -61.89515,  80.47785, -17.40103, -56.32413,  89.55729, -20.97970, -57.30368,  84.61908, -19.22185, -58.24159,  80.73333, -18.49996, -59.07670,  78.32963, -18.39042, -55.61351,  89.31221, -21.49511, -55.85982,  84.66974, -20.33118, -56.22556,  81.15559, -20.56703, -56.89570,  78.89188, -21.24414, -54.78960,  89.17759, -22.24920, -54.49126,  84.83089, -21.60450, -54.20877,  82.02163, -21.86048, -54.22721,  80.27082, -22.24202
